ID,Name,Description,ColumnSpec,Semantic_Field,Ontological_Category,Replacement_ID
3169,TREATY,"Formal agreement between nations, states or other international bodies.",,Social and political relations,Person/Thing,
3170,BATHE (SOMEONE),Clean someone else with water.,,The body,Action/Process,
3171,RINGWORM,"Dermatophytosis, fungal skin infection making round patches on the skin.",,The body,Person/Thing,
3172,SCABIES,A contagious skin rash caused by the mite Sarcoptes scabiei.,,The body,Person/Thing,
3173,TINEA,"Dermatophytosis, fungal skin infection making white spots/non-symmetrical white patches on the skin.",,The body,Person/Thing,3171
3174,WAKE UP (SOMEONE),Rouse from sleep.,,The body,Action/Process,
3176,RACK (FOR STORING FOOD),Bamboo shelves in the kitchen to store food and utensils.,,The house,Person/Thing,
3177,BALE-BALE (RAISED PLATFORM IN HOUSE),"An elevated wooden or bamboo platform on which people can sit, squat or sleep.",,The house,Person/Thing,
3178,RITUAL GROUND,An uncovered open area used for ritual activities and public meetings.,,The house,Person/Thing,
3179,CORAL ROCK,"Limestone created from the skeleton of reef-forming stony corals (Scleractinia), displaying their growth patterns.",,The physical world,Person/Thing,
3180,SHOOT (WITH SLINGSHOT),Use a rubber-based projectile weapon to propel projectiles against a target.,,Warfare and hunting,Action/Process,
3181,MUSTARD,It can be a yellow sauce with a strong taste or a plant which is used to make mustard sauce.,,Food and drink,Person/Thing,
3182,MARRIAGE OR WEDDING,The ceremony of marrying someone or the state of being married.,,Kinship,Person/Thing,
3183,BREATH OR BREATHE,The air that goes into one's lungs or the act of breathing.,,The body,Other,
3184,BE ALIVE OR LIFE,The act of being alive or the life itself.,,The body,Other,
3185,BE DEAD OR DIE OR KILL,To be not alive or to cease to live or to cause the end of a life.,,The body,Other,
3186,BE DEAD OR DEATH OR DIE,To be not alive or the end of a life or to cease to live.,,The body,Other,
3187,DROWNED,To have perished by suffocation in water.,,The body,Property,
3188,MIGHTY OR POWERFUL OR STRONG,"Holding much (political, social, ...) power or being done using a huge amount of energy or having great physical strength.",,Emotions and values,Property,
3189,STAB TO DEATH,To kill by stabbing with a knife.,,The body,Action/Process,
3190,BROKEN (NOT WORKING),Not capable of working.,,Basic actions and technology,Property,
3191,BROKEN (SHATTERED),Broken into pieces.,,Basic actions and technology,Property,
3192,BRONZE OR COPPER,Chemical element with symbol Cu and atomic number 29 or an alloy made from it.,,The physical world,Person/Thing,
3193,CROSSBOW,"A weapon based on the bow, consisting of a bow mounted on a stock.",,Warfare and hunting,Person/Thing,
3194,PAINT (SOMETHING) OR PAINTING,To apply color to a wall or to make a painting or drawing.,,Basic actions and technology,Action/Process,
3195,DAMAGE OR INJURE,To put a thing in bad condition by causing damage to it or to cause physical harm to a living creature.,,Possession,Action/Process,
3196,BE LEFT,To remain in the same place after others have left or been removed.,,Spatial relations,Property,
3197,SUSPICION,An assumption without direct evidence.,,Cognition,Person/Thing,
3198,NOTHING OR ZERO,Not anything or the cardinal number that denotes no quantity or amount at all.,,Miscellaneous function words,Number,
3199,TWIST (AROUND),To wind something around something else.,,Motion,Action/Process,
3200,COUNTRYSIDE,The region outside of a city or town.,,The physical world,Person/Thing,
3201,HINDER OR PREVENT,To make it difficult for something to occur or to fully stop it from occurring.,,Social and political relations,Action/Process,
3202,CANNON,A bullet firing weapon mounted on a carriage.,,Warfare and hunting,Person/Thing,
3203,CANNON OR GUN,A bullet-firing weapon mounted on a carriage or to be held in the hands or arms.,,Warfare and hunting,Person/Thing,
3204,INSULT,To use swear-words towards someone.,,Social and political relations,Action/Process,
3205,GRAVEN IMAGE,A representation of a deity who is considered to be false.,,Religion and belief,Person/Thing,
3206,ELF OR FAIRY,"A mythical being similar to but distinct from human, related to nature, and usually with supernatural or magic powers.",,Religion and belief,Person/Thing,
3207,GO UP OR RISE (ONESELF),"To move from a lower to a higher position or to get up from a lying, sitting, or kneeling position.",,Motion,Action/Process,
3208,CENTER OR MIDDLE,What's in the mid of a plane or sphere or equally far away from two ends.,,Spatial relations,Person/Thing,
3209,MAKE A SPEECH,To give a speech in front of an audience.,,Speech and language,Action/Process,
3210,KNIFE (FOR EATING),A knife used while eating food.,,Food and drink,Person/Thing,
3211,HOPE (FAITH),The belief in the possibility that something one wants will happen.,,Emotions and values,Person/Thing,
3212,HOPE (SOMETHING),To want something to happen.,,Emotions and values,Action/Process,
3213,HIRE OR RENT,"To employ a person or people in exchange of some kind of remuneration, usually a payment, or to pay for using an object.",,Social and political relations,Action/Process,
3215,CREEP,To move with one's belly touching the ground.,,Motion,Action/Process,
3217,TIN OR TINPLATE,A metallic element with symbol Sn or a thin sheet of steel coated with tin to prevent rusting.,,Basic actions and technology,Person/Thing,
3220,MATERNAL UNCLE,A brother of someone's mother.,,Kinship,Person/Thing,
3221,PLANTAGO,"A plant of the genus Plantago, with a rosette of sessile leaves about 10 cm long with a narrow part instead of a petiole, and with a spike inflorescence with the flower spacing varying widely among the species.",,Agriculture and vegetation,Person/Thing,
3222,TWIG,A branch that doesn't arise from the trunk but from another branch.,,Agriculture and vegetation,Person/Thing,
3223,BRANCH OR TWIG,A woody part of a tree arising from the trunk or from another branch.,,Agriculture and vegetation,Person/Thing,
3224,WRING,To take a cloth and twist its ends into different directions in order to dry it.,,Basic actions and technology,Action/Process,
3228,BOW OR CROSSBOW,"A weapon made of a curved piece of wood or other flexible material whose ends are connected by a string, used for shooting arrows, or a weapon based on it, consisting of a bow mounted on a stock.",,Warfare and hunting,Person/Thing,
3230,DECEIVE,"To trick someone by making them believe something that is not true or by acting in a dishonest way, usually in order to take advantage of it.",,Cognition,Action/Process,
3231,DEITY,"A supernatural, typically immortal being with superior powers.",,Religion and belief,Person/Thing,
3232,PELT,"The hair-covered, dressed pelt of a mammal, used in the making of garments and as trimming or decoration.",,Clothing and grooming,Person/Thing,
3233,SMALL KNIFE,A knife for cutting vegetables and other things in the kitchen.,,Food and drink,Person/Thing,
3234,OPEN (EYES),Move ones eyelids in such a way that the eyes are visible.,,Basic actions and technology,Action/Process,
3235,OPEN (STATE),To be accessible and/or not closed.,,Basic actions and technology,Property,
3236,TWIST (TOGETHER),To wind several things around each other (e.g. in order to form a rope or thread).,,Motion,Action/Process,
3237,ALLOW OR PERMIT,To give permission to an action or to not try to stop someone from doing it.,,Social and political relations,Action/Process,
3238,ALLOW,To not try to stop someone from doing something.,,Social and political relations,Action/Process,
3239,AMUSE ONESELF (HAVE FUN),To do something joyful.,,Basic actions and technology,Action/Process,
3240,BAMBOO MAT,A mat made from bamboo.,,Modern world,Person/Thing,
3241,CORIANDER,Annual herb in the family Apiaceae.,,Agriculture and vegetation,Person/Thing,
3243,CYPRESS,A common name for various coniferous trees or shrubs of northern temperate regions that belong to the family Cupressaceae.,,Agriculture and vegetation,Person/Thing,
3244,EAR (OF GRAIN),The upper part of grain plants.,,Agriculture and vegetation,Person/Thing,
3245,FROG (SMALL),A small kind of frog (as opposed to big ones).,,Animals,Person/Thing,
3246,FRUIT (CLASSIFIER),The measure word used for typical fruits.,,Quantity,Classifier,
3247,KIWIFRUIT,Edible berry of several species of woody vines in the genus Actinidia.,,Agriculture and vegetation,Person/Thing,
3248,MAPLE TREE,A group of trees belonging to the genus acer.,,Agriculture and vegetation,Person/Thing,
3249,MATERNAL UNCLE (MOTHER'S OLDER BROTHER),Older brother of ego's mother.,,Kinship,Person/Thing,
3250,MATERNAL UNCLE (MOTHER'S YOUNGER BROTHER),Younger brother of ego's mother.,,Kinship,Person/Thing,
3251,MOLD (GET ROTTEN),Discoloration and food caused by fungal species.,,Basic actions and technology,Person/Thing,
3252,PANCREAS,An organ of the digestive system of vertebrates.,,The body,Person/Thing,
3253,PRICKLY ASH,A flowering plant in the family Rutaceae.,,Agriculture and vegetation,Person/Thing,
3254,YOUNG ANIMAL,"Like a puppy of a dog, a general term for naming younger animals.",,Animals,Person/Thing,
3255,POINT (POINTED END),"The pointed, sharp end of an object like e.g. a spear or arrowhead.",,Spatial relations,Person/Thing,2992
3256,BITTER BUCKWHEAT,"Fagopyrum tataricum, a domesticated plant similar to the (sweet) buckwheat.",,Agriculture and vegetation,Person/Thing,
3257,CLITORIS,"A part of the female genitalia located at the front of the vulva, consisting of a sensitive erectile body.",,The body,Person/Thing,
3258,FALCON,"A bird of prey of genus Falco, which kill preys with its beak (unlike Accipitridae as eagles and hawks, which kill with its feet).",,Animals,Person/Thing,
3259,GORAL,A small ungulate with goat-like and antelope-like appearance.,,Animals,Person/Thing,
3260,HORNBILL,"A bird characterized by a long, down-curved, and frequently colored beak.",,Animals,Person/Thing,
3261,HORNET,"A large wasp that can inflict a severe sting, characteristically building large papery nests.",,Animals,Person/Thing,
3262,HORSEFLY,"A fly of the family Tabanidae, known for biting humans.",,Animals,Person/Thing,
3263,LAP,"The front area from waist to knees, especially when sitting.",,The body,Person/Thing,
3264,TRIVET,"A stand, usually metallic, used to support cooking vessels on top of fire.",,Food and drink,Person/Thing,
3265,FINGER MILLET,"Eleusine coracana, a herbaceous plant characteristic for the hability to withstand cultivation at high altitudes.",,Agriculture and vegetation,Person/Thing,
3266,FOXTAIL MILLET,"Staria italica, an annual grass grown for human food and related to (broomcorn) millet.",,Agriculture and vegetation,Person/Thing,
3267,PULSE,"The rhytmic contraction and expansion of arteries at each heart beat, often discernible at points such the wrists and the neck.",,The body,Person/Thing,
3268,QUESTION,A sentence used to obtain information by evoking a response.,,Speech and language,Person/Thing,
3269,PORCH,"A structure attached to the exterior of a building, often acting as a roofed entrance; a balcony; a veranda.",,The house,Person/Thing,
3270,SEROW,"A short-horned, dark-coated goat antelope of southeast Asia mountain areas.",,Animals,Person/Thing,
3271,FLYING SQUIRREL,A squirrel of the sub-family Pteromyinae of the family Sciuridae.,,Animals,Person/Thing,
3272,TAKIN,"A large goat antelope of eastern Himalayan area, Budorcas taxicolor.",,Animals,Person/Thing,
3273,TILL,"Prepare land for cultivation by work such as ploughing, harrowing, and manuring.",,Agriculture and vegetation,Action/Process,
3274,ENCIRCLE,To enclose or cause to be enclosed; to surround; to confine.,,Basic actions and technology,Action/Process,
3275,CLOUD OR FOG,High or low elevation water suspensions.,,The physical world,Person/Thing,
3276,SUNSHINE,The light emitted by the sun.,,The physical world,Person/Thing,
3277,FOUR DAYS FROM NOW,Four days from today.,,Time,Other,
3278,FOUR DAYS BEFORE NOW,Four days before today.,,Time,Other,
3279,MANTIS,A predatory insect of the order Mantodea; mantid; praying mantis.,,Animals,Person/Thing,
